Date,Value
"May 31, 2012",100.000
"Jun 29, 2012",104.806
"Jul 31, 2012",106.208
"Aug 31, 2012",108.739
"Sep 28, 2012",111.565
"Oct 31, 2012",110.497
"Nov 30, 2012",111.884
"Dec 31, 2012",113.883
"Jan 31, 2013",119.749
"Feb 28, 2013",119.964
"Mar 29, 2013",122.533
"Apr 30, 2013",126.046
"May 31, 2013",125.696
"Jun 28, 2013",122.629
"Jul 31, 2013",128.930
"Aug 30, 2013",126.044
"Sep 30, 2013",132.219
"Oct 31, 2013",137.300
"Nov 29, 2013",139.625
"Dec 31, 2013",142.450
"Jan 31, 2014",137.161
"Feb 28, 2014",143.870
"Mar 31, 2014",143.521
"Apr 30, 2014",144.582
"May 30, 2014",147.108
"Jun 30, 2014",149.364
"Jul 31, 2014",147.060
"Aug 29, 2014",150.115
"Sep 30, 2014",145.912
"Oct 31, 2014",146.874
"Nov 28, 2014",149.985
"Dec 31, 2014",147.357
"Jan 30, 2015",144.799
"Feb 27, 2015",153.359
"Mar 31, 2015",150.965
"Apr 30, 2015",153.942
"May 29, 2015",154.332
"Jun 30, 2015",150.743
"Jul 31, 2015",153.342
"Aug 31, 2015",142.948
"Sep 30, 2015",137.296
"Oct 30, 2015",148.048
"Nov 30, 2015",147.181
"Dec 31, 2015",144.594
"Jan 29, 2016",135.586
"Feb 29, 2016",134.299
"Mar 31, 2016",142.950
"Apr 29, 2016",144.545
"May 31, 2016",145.203
"Jun 30, 2016",142.742
"Jul 29, 2016",149.227
"Aug 31, 2016",149.339
"Sep 30, 2016",149.718
"Oct 31, 2016",146.449
"Nov 30, 2016",148.402
"Dec 30, 2016",151.705
"Jan 31, 2017",155.404
"Feb 28, 2017",159.457
"Mar 31, 2017",160.797
"Apr 28, 2017",163.032
"May 31, 2017",165.828
"Jun 30, 2017",166.521
"Jul 31, 2017",170.362
"Aug 31, 2017",170.154
"Sep 29, 2017",173.676
"Oct 31, 2017",176.822
"Nov 30, 2017",180.312
"Dec 29, 2017",182.471
"Jan 31, 2018",192.222
"Feb 28, 2018",184.305
"Mar 30, 2018",179.625
"Apr 30, 2018",181.119
"May 31, 2018",181.827
"Jun 29, 2018",181.497
"Jul 31, 2018",186.950
"Aug 31, 2018",189.728
"Sep 28, 2018",190.136
"Oct 31, 2018",175.651
"Nov 30, 2018",177.722
"Dec 31, 2018",163.764
"Jan 31, 2019",176.333
"Feb 28, 2019",181.001
"Mar 29, 2019",183.096
"Apr 30, 2019",189.721
"May 31, 2019",178.010
"Jun 28, 2019",189.575
"Jul 31, 2019",190.586
"Aug 30, 2019",186.230
"Sep 30, 2019",189.797
"Oct 31, 2019",194.820
"Nov 29, 2019",200.056
"Dec 31, 2019",205.990
"Jan 31, 2020",204.550
"Feb 28, 2020",187.361
"Mar 31, 2020",162.517
"Apr 30, 2020",180.607
"May 29, 2020",189.307
"Jun 30, 2020",194.361
"Jul 31, 2020",203.947
"Aug 31, 2020",217.692
"Sep 30, 2020",209.838
"Oct 30, 2020",203.353
"Nov 30, 2020",228.871
"Dec 31, 2020",238.530
"Jan 29, 2021",236.218
"Feb 26, 2021",241.972
"Mar 31, 2021",249.007
"Apr 30, 2021",260.525
"May 31, 2021",263.581
"Jun 30, 2021",267.781
